subject,id,tp,group
20170704_120344_EpiBios_B4C_Rat2085_M_D02_I_1_1,2085,2d,Sham
20170704_134530_EpiBios_B4C_Rat2081_M_D02_I_1_1,2081,2d,TBI
20170704_153634_EpiBios_B4C_Rat2084_M_D02_I_1_1,2084,2d,TBI
20170705_103659_EpiBios_B4C_Rat2090_M_D02_I_1_1,2090,2d,Sham
20170705_130626_EpiBios_B4C_Rat2089_M_D02_I_1_1,2089,2d,TBI
20170705_145137_EpiBios_B4C_Rat2086_M_D02_I_1_1,2086,2d,TBI
20170705_170833_EpiBios_B4C_Rat2088_M_D02_I_1_1,2088,2d,TBI
20170711_105319_EpiBios_B4C_Rat2084_M_D02_I_1_2,2084,2d,TBI
20170711_113224_EpiBios_B4C_Rat2081_M_D09_I_1_1,2081,9d,TBI
20170711_122946_EpiBios_B4C_Rat2086_M_D09_I_1_1,2086,9d,TBI
20170711_124808_EpiBios_B4C_Rat2088_M_D09_I_1_1,2088,9d,TBI
20170711_131244_EpiBios_B4C_Rat2089_M_D09_I_1_1,2089,9d,TBI
20170718_095652_EpiBios_B4C_Rat2121_M_1_2,2121,2d,Sham
20170718_113857_EpiBios_B4C_Rat2118_M_1_1,2118,2d,TBI
20170718_132351_EpiBios_B4C_Rat2119_M_1_1,2119,2d,TBI
20170718_151130_EpiBios_B4C_Rat2120_M_1_1,2120,2d,TBI
20170719_103725_EpiBios_B4C_Rat2125_M_1_1,2125,2d,TBI
20170719_134138_EpiBios_B4C_Rat2126_M_1_1,2126,2d,Sham
20170719_152810_EpiBios_B4C_Rat2130_M_1_1,2130,2d,Sham
20170725_100122_EpiBios_B4C_Rat2121_M_1_3,2121,9d,Sham
20170725_114225_EpiBios_B4C_Rat2118_M_1_2,2118,9d,TBI
20170725_132859_EpiBios_B4C_Rat2119_M_1_2,2119,9d,TBI
20170725_151117_EpiBios_B4C_Rat2120_M_1_2,2120,9d,TBI
20170726_103945_EpiBios_B4C_Rat2126_M_1_2,2126,9d,Sham
20170726_124126_EpiBios_B4C_Rat2130_M_1_2,2130,9d,Sham
20170726_142912_EpiBios_B4C_Rat2125_M_1_2,2125,9d,TBI
20170731_104755_EpiBios_B4C_Rat2081_M_W04_1_1,2081,1mo,TBI
20170801_100055_EpiBios_B4C_Rat2086_M_W04_I_1_1,2086,1mo,TBI
20170801_114926_EpiBios_B4C_Rat2089_M_W04_I_1_1,2089,1mo,TBI
20170801_133013_EpiBios_B4C_Rat2088_M_W04_I_1_1,2088,1mo,TBI
20170815_092542_EpiBios_B4C_Rat2195_M_1_1,2195,2d,Sham
20170815_111455_EpiBios_B4C_Rat2194_M_1_1,2194,2d,TBI
20170815_131048_EpiBios_B4C_Rat2193_M_1_1,2193,2d,TBI
20170815_150132_EpiBios_B4C_Rat2199_M_1_1,2199,2d,TBI
20170816_112918_EpiBios_B4C_Rat2206_M_1_1,2206,2d,Sham
20170816_132647_EpiBios_B4C_Rat2201_M_1_1,2201,2d,TBI
20170816_151222_EpiBios_B4C_Rat2204_M_1_1,2204,2d,TBI
20170817_100412_EpiBios_B4C_Rat2118_M_1_3,2118,1mo,TBI
20170817_115759_EpiBios_B4C_Rat2119_M_1_3,2119,1mo,TBI
20170817_134837_EpiBios_B4C_Rat2120_M_1_3,2120,1mo,TBI
20170817_153221_EpiBios_B4C_Rat2121_M_1_4,2121,1mo,Sham
20170818_104112_EpiBios_B4C_Rat2125_M_1_3,2125,1mo,TBI
20170818_121730_EpiBios_B4C_Rat2126_M_1_3,2126,1mo,Sham
20170818_135531_EpiBios_B4C_Rat2130_M_1_3,2130,1mo,Sham
20170822_093331_EpiBios_B4C_Rat2193_M_1_2,2193,9d,TBI
20170822_113016_EpiBios_B4C_Rat2194_M_1_2,2194,9d,TBI
20170822_131525_EpiBios_B4C_Rat2195_M_1_2,2195,9d,Sham
20170822_145142_EpiBios_B4C_Rat2199_M_1_2,2199,9d,TBI
20170823_095238_EpiBios_B4C_Rat2206_M_1_2,2206,9d,Sham
20170823_114829_EpiBios_B4C_Rat2201_M_1_2,2201,9d,TBI
20170823_133813_EpiBios_B4C_Rat2204_M_1_2,2204,9d,TBI
20170911_095641_EpiBios_B4C_Rat2193_M_1_3,2193,1mo,TBI
20170911_113655_EpiBios_B4C_Rat2194_M_1_3,2194,1mo,TBI
20170911_131553_EpiBios_B4C_Rat2195_M_1_3,2195,1mo,Sham
20170911_151503_EpiBios_B4C_Rat2199_M_1_3,2199,1mo,TBI
20170912_095610_EpiBios_B4C_Rat2206_M_1_3,2206,1mo,Sham
20170912_134857_EpiBios_B4C_Rat2201_M_1_3,2201,1mo,TBI
20170912_152214_EpiBios_B4C_Rat2204_M_1_3,2204,1mo,TBI
20171012_094159_EpiBios_B4C_Rat2280_M_1_1,2280,2d,TBI
20171012_115637_EpiBios_B4C_Rat2281_M_1_1,2281,2d,Sham
20171013_095225_EpiBios_B4C_Rat2289_M_1_1,2289,2d,Sham
20171013_115648_EpiBios_B4C_Rat2286_M_1_1,2286,2d,TBI
20171013_140606_EpiBios_B4C_Rat2287_M_1_1,2287,2d,TBI
20171017_094907_EpiBios_B4C_Rat2291_M_1_1,2291,2d,TBI
20171017_113822_EpiBios_B4C_Rat2293_M_1_1,2293,2d,TBI
20171017_155249_EpiBios_B4C_Rat2295_M_1_1,2295,2d,TBI
20171018_092930_EpiBios_B4C_Rat2300_M_1_1,2300,2d,TBI
20171018_112250_EpiBios_B4C_Rat2297_M_1_1,2297,2d,TBI
20171018_132018_EpiBios_B4C_Rat2299_M_1_1,2299,2d,TBI
20171018_160544_EpiBios_B4C_Rat2301_M_1_1,2301,2d,Sham
20171019_102723_EpiBios_B4C_Rat2280_M_1_2,2280,9d,TBI
20171019_122947_EpiBios_B4C_Rat2281_M_1_2,2281,9d,Sham
20171020_094915_EpiBios_B4C_Rat2286_M_1_2,2286,9d,TBI
20171020_114652_EpiBios_B4C_Rat2287_M_1_2,2287,9d,TBI
20171020_133844_EpiBios_B4C_Rat2289_M_1_2,2289,9d,Sham
20171024_094625_EpiBios_B4C_Rat2291_M_1_2,2291,9d,TBI
20171024_114456_EpiBios_B4C_Rat2293_M_1_2,2293,9d,TBI
20171024_153451_EpiBios_B4C_Rat2295_M_1_2,2295,9d,TBI
20171025_094003_EpiBios_B4C_Rat2301_M_1_2,2301,9d,Sham
20171025_113956_EpiBios_B4C_Rat2297_M_1_2,2297,9d,TBI
20171025_133735_EpiBios_B4C_Rat2299_M_1_2,2299,9d,TBI
20171107_102348_EpiBios_B4C_Rat2280_M_1_3,2280,1mo,TBI
20171107_121648_EpiBios_B4C_Rat2281_M_1_3,2281,1mo,Sham
20171108_101520_EpiBios_B4C_Rat2289_M_1_3,2289,1mo,Sham
20171108_121129_EpiBios_B4C_Rat2286_M_1_3,2286,1mo,TBI
20171108_140756_EpiBios_B4C_Rat2287_M_1_3,2287,1mo,TBI
20171113_095306_EpiBios_B4C_Rat2293_M_1_3,2293,1mo,TBI
