subject,id,tp,group
gds180219_3001.M11,3001,1mo,Sham
gds180219_3003.M11,3003,1mo,Sham
gds180219_3004.M11,3004,1mo,Sham
gds180219_3006.M11,3006,1mo,Sham
gds180219_3007.M21,3007,1mo,Sham
gds180219_3008.M21,3008,1mo,Sham
gds180315_045.Mp1,45,1mo,TBI
gds180315_3016.Mp1,3016,1mo,TBI
gds180326_3024.MA1,3024,1mo,TBI
gds180326_3026.MA1,3026,1mo,TBI
gds180326_3027.MA1,3027,1mo,TBI
gds180326_3028.MB1,3028,1mo,TBI
gds180326_3029.MB1,3029,1mo,Sham
gds180326b_3022.MA1,3022,1mo,TBI
gds180327_3030.MB1,3030,1mo,TBI
gds180327_3032.MB1,3032,1mo,TBI
gds180327_3034.MB1,3034,1mo,TBI
gds180327_3037.MB1,3037,1mo,TBI
gds180327_3038.MC1,3038,1mo,Sham
gds180418_3043.MY1,3043,1mo,TBI
gds180514_3072.Nn1,3072,1mo,TBI
gds180514_3073.Nn1,3073,1mo,TBI
gds180514_3074.Nn1,3074,1mo,TBI
gds180514_3075.Nn1,3075,1mo,Sham
gds181009_3116.PL1,3116,1mo,TBI
gds181009_3118.PL1,3118,1mo,Sham
gds181009_3119.PL1,3119,1mo,TBI
gds181009_3120.PL1,3120,1mo,Sham
gds181010_3106.PM1,3106,1mo,TBI
gds181010_3107.PM1,3107,1mo,TBI
gds181010_3124.PM1,3124,1mo,TBI
gds181010_3126.PM1,3126,1mo,TBI
gds181010_3127.PN1,3127,1mo,TBI
gds181010_3128.PN1,3128,1mo,TBI
gds190129_3139.RA1,3139,1mo,TBI
gds190129_3141.RA1,3141,1mo,TBI
gds190129_3144.RA1,3144,1mo,Sham
gds190402_3152.SB1,3152,1mo,TBI
gds190402_3153.SB1,3153,1mo,TBI
gds190402_3154.SB1,3154,1mo,TBI
gds190402_3162.SC1,3162,1mo,TBI
gds190402_3164.SC1,3164,1mo,TBI
gds190930_3209.Vw1,3209,1mo,TBI
gds190930_3210.Vw1,3210,1mo,TBI
gds190930_3217.Vw1,3217,1mo,TBI
gds190930_3218.Vw1,3218,1mo,TBI
gds180124_3001.LB1,3001,2d,Sham
gds180124_3003.LB1,3003,2d,Sham
gds180124_3004.LB1,3004,2d,Sham
gds180124_3006.LB1,3006,2d,Sham
gds180124_3007.LC1,3007,2d,Sham
gds180124_3008.LC1,3008,2d,Sham
gds180216_045.LY1,45,2d,TBI
gds180216_3016.LY1,3016,2d,TBI
gds180228_3022.Ma1,3022,2d,TBI
gds180228_3024.Ma1,3024,2d,TBI
gds180228_3026.Ma1,3026,2d,TBI
gds180228_3027.Ma1,3027,2d,TBI
gds180228_3028.Mb1,3028,2d,TBI
gds180228_3029.Mb1,3029,2d,Sham
gds180301_3030.Mb1,3030,2d,TBI
gds180301_3032.Mb1,3032,2d,TBI
gds180301_3034.Mb1,3034,2d,TBI
gds180301_3035.Mb1,3035,2d,TBI
gds180301_3037.Mc1,3037,2d,TBI
gds180301_3038.Mc1,3038,2d,Sham
gds180315_3043.Mp1,3043,2d,TBI
gds180418_3071.MX1,3071,2d,TBI
gds180418_3072.MX1,3072,2d,TBI
gds180418_3073.MX1,3073,2d,TBI
gds180418_3074.MY1,3074,2d,TBI
gds180418_3075.MY1,3075,2d,Sham
gds180913_3116.Pl1,3116,2d,TBI
gds180913_3118.Pl1,3118,2d,Sham
gds180913_3119.Pl1,3119,2d,TBI
gds180913_3120.Pl1,3120,2d,Sham
gds180914_3106.Pm1,3106,2d,TBI
gds180914_3107.Pm1,3107,2d,TBI
gds180914_3124.Pm1,3124,2d,TBI
gds180914_3126.Pn1,3126,2d,TBI
gds180914_3127.Pn1,3127,2d,TBI
gds180914_3128.Pn1,3128,2d,TBI
gds190104_3139.Rb1,3139,2d,TBI
gds190104_3141.Rb1,3141,2d,TBI
gds190104_3143.Rb1,3143,2d,TBI
gds190104_3144.Rb1,3144,2d,Sham
gds190307_3152.Sb1,3152,2d,TBI
gds190307_3153.Sb1,3153,2d,TBI
gds190307_3154.Sb1,3154,2d,TBI
gds190307_3162.Sc1,3162,2d,TBI
gds190307_3164.Sc1,3164,2d,TBI
gds190904_3209.V61,3209,2d,TBI
gds190904_3210.V61,3210,2d,TBI
gds190904_3217.V61,3217,2d,TBI
gds190904_3218.V61,3218,2d,TBI
gds180611_3001.NP1,3001,5mo,Sham
gds180611_3003.NP1,3003,5mo,Sham
gds180611_3004.NP1,3004,5mo,Sham
gds180611_3006.NP1,3006,5mo,Sham
gds180611_3007.NP1,3007,5mo,Sham
gds180611_3008.NQ1,3008,5mo,Sham
gds180705_045.Od1,45,5mo,TBI
gds180705_3016.Od1,3016,5mo,TBI
gds180720_3022.Os1,3022,5mo,TBI
gds180720_3024.Os1,3024,5mo,TBI
gds180720_3026.Os1,3026,5mo,TBI
gds180720_3027.Os1,3027,5mo,TBI
gds180720_3028.Ot1,3028,5mo,TBI
gds180720_3029.Ot1,3029,5mo,Sham
gds180721_3030.Ot1,3030,5mo,TBI
gds180721_3032.Ot1,3032,5mo,TBI
gds180721_3034.Ot1,3034,5mo,TBI
gds180721_3037.Ot1,3037,5mo,TBI
gds180721_3038.Ot1,3038,5mo,Sham
gds180903_3072.Pb1,3072,5mo,TBI
gds180903_3073.Pb1,3073,5mo,TBI
gds180903_3074.Pb1,3074,5mo,TBI
gds180903_3075.Pb1,3075,5mo,Sham
gds190129_3116.RA1,3116,5mo,TBI
gds190129_3118.RB1,3118,5mo,Sham
gds190129_3119.RB1,3119,5mo,TBI
gds190129_3120.RB1,3120,5mo,Sham
gds190130_3106.RB1,3106,5mo,TBI
gds190130_3107.RB1,3107,5mo,TBI
gds190130_3124.RB1,3124,5mo,TBI
gds190130_3126.RB1,3126,5mo,TBI
gds190130_3127.RC1,3127,5mo,TBI
gds190130_3128.RC1,3128,5mo,TBI
gds190523_3139.Tq1,3139,5mo,TBI
gds190523_3141.Tq1,3141,5mo,TBI
gds190523_3144.Tq1,3144,5mo,Sham
gds190723_3152.Up1,3152,5mo,TBI
gds190723_3153.Up1,3153,5mo,TBI
gds190723_3154.Up1,3154,5mo,TBI
gds190723_3162.Up1,3162,5mo,TBI
gds190723_3164.Uq1,3164,5mo,TBI
gds200120_3209.0j1,3209,5mo,TBI
gds200120_3210.0j1,3210,5mo,TBI
gds200120_3217.0j1,3217,5mo,TBI
gds200120_3218.0j1,3218,5mo,TBI
gds180131_3001.LI1,3001,9d,Sham
gds180131_3003.LI1,3003,9d,Sham
gds180131_3004.LI1,3004,9d,Sham
gds180131_3006.LI1,3006,9d,Sham
